"Disaster#","Type","County","State","Latitude","Longitude","Damage","Approved","Repair","Population","IncomeCapita","DisasterBegin","DisasterEnd","Duration"
1680,"Severe Storm","Volusia","Florida",29.0583,-81.1819,2013349.55,750281.59,700126.68,546107,23973,2006-12-25,2006-12-25,0
1650,"Severe Storm","Otsego","New York",42.6337,-75.0326,15093.06,15048.07,14869.07,59593,24165,2006-06-26,2006-07-10,14
1634,"Severe Storm","Warren","Tennessee",35.6787,-85.7785,86010.6,33459.51,16300,40971,19531,2006-04-02,2006-04-08,6
1665,"Severe Storm","Genesee","New York",43.0009,-78.1937,0,0,0,57554,25403,2006-10-12,2006-10-25,13
1658,"Severe Storm","El Paso","Texas",31.7686,-106.2348,107238.81,37892.18,30752.4,836915,18379,2006-07-27,2006-08-25,29
1649,"Severe Storm","Lancaster","Pennsylvania",40.0424,-76.2477,0,0,0,543050,26496,2006-06-23,2006-07-10,17
1636,"Severe Storm","Randolph","Arkansas",36.3415,-91.0276,2453.41,189.99,0,17934,18871,2006-04-01,2006-04-03,2
1631,"Severe Storm","Mississippi","Missouri",36.8281,-89.2911,116980.95,11603.63,0,13328,NA,2006-03-08,2006-03-13,5
1628,"Severe Storm","Lake","California",39.0996,-122.7532,22793.59,9778.93,9471.22,64276,21537,2005-12-17,2006-01-03,17
1662,"Severe Storm","Vanderburgh","Indiana",38.0249,-87.5859,24810.12,25766.48,25766.48,181548,24378,2006-09-12,2006-09-14,2
1651,"Severe Storm","Cuyahoga","Ohio",41.4243,-81.6586,12777.78,11114.49,11114.49,1241475,27423,2006-06-21,2006-06-23,2
1640,"Severe Storm","Kauai","Hawaii",22.0398,-159.5966,215239.03,39517.6,29136.92,71949,26658,2006-02-20,2006-04-02,41
1644,"Severe Storm","York","Maine",43.4782,-70.7144,16399.59,15349.7,12166.76,206074,29125,2006-05-13,2006-05-23,10
1642,"Severe Storm","Essex","Massachusetts",42.6732,-70.952,212635.07,122545.03,113223.12,787038,35167,2006-05-12,2006-05-23,11
1633,"Severe Storm","Sangamon","Illinois",39.7582,-89.6589,625540.8,176262.45,101332.13,195963,29974,2006-03-11,2006-03-13,2
1653,"Severe Storm","Mercer","New Jersey",40.2834,-74.7018,1297.56,0,0,368085,37465,2006-06-23,2006-07-10,17
1635,"Severe Storm","Andrew","Missouri",39.9835,-94.8021,79765.49,1290,0,17554,25302,2006-03-30,2006-04-03,4
1610,"Severe Storm","Hillsborough","New Hampshire",42.9153,-71.7161,1161.88,1161.88,1161.88,415305,34390,2005-10-07,2005-10-18,11
1656,"Severe Storm","Geauga","Ohio",41.4995,-81.1786,4297.96,9035.52,9035.52,93657,34455,2006-07-27,2006-08-04,8
1637,"Severe Storm","Delaware","Oklahoma",36.4082,-94.8026,357146.2,54792.84,50781.27,42741,NA,2006-03-12,2006-03-12,0
1614,"Severe Storm","Bristol","Massachusetts",41.7972,-71.1144,23717.2,25129.08,19424.69,563301,28837,2005-10-07,2005-10-16,9
1587,"Severe Storm","Luzerne","Pennsylvania",41.177,-75.9891,0,0,0,317547,24793,2005-04-02,2005-04-23,21
1588,"Severe Storm","Essex","New Jersey",40.7872,-74.2471,3461.24,0,0,798698,32181,2005-04-01,2005-04-03,2
1580,"Severe Storm","Darke","Ohio",40.1333,-84.6194,45048.59,39936.03,11394.23,51387,22511,2004-12-22,2005-02-01,41
1617,"Severe Storm","Hopkins","Kentucky",37.3088,-87.5408,420205.23,43446.62,20299.46,45044,22132,2005-11-15,2005-11-15,0
1577,"Severe Storm","Los Angeles","California",34.3209,-118.2247,48725.4,40633.32,33973.4,10040682,27749,2004-12-27,2005-01-11,15
1573,"Severe Storm","Johnson","Indiana",39.49,-86.1016,6621.61,4021.61,3884.59,156148,28575,2005-01-01,2005-02-11,41
1569,"Severe Storm","Steele","Minnesota",44.0223,-93.226,39651.56,25269.16,21193.61,36710,27259,2004-09-14,2004-09-27,13
1564,"Severe Storm","Monroe","New York",43.1464,-77.6961,30025.27,30569.65,20070.7,743084,28732,2004-08-13,2004-09-16,34
1558,"Severe Storm","Cabell","West Virginia",38.4203,-82.2417,1523.73,1523.73,1523.73,93328,23647,2004-09-16,2004-09-27,11
1563,"Severe Storm","Sussex","New Jersey",41.1393,-74.6908,1644.8,1300,1300,140996,37949,2004-09-18,2004-10-01,13
1570,"Severe Storm","Montgomery","Virginia",37.1743,-80.3872,10100.23,7172.92,3900,98495,23548,2004-09-27,2004-09-30,3
1556,"Severe Storm","Mahoning","Ohio",41.0146,-80.7763,0,0,0,228452,23975,2004-08-27,2004-09-27,31
1565,"Severe Storm","Ulster","New York",41.8881,-74.2586,369.15,369.15,0,178371,30442,2004-09-16,2004-09-24,8
1544,"Severe Storm","Charles City","Virginia",37.3567,-77.0622,5924.55,7113.54,4537.54,6965,NA,2004-08-30,2004-09-08,9
1555,"Severe Storm","Beaver","Pennsylvania",40.6823,-80.3493,21453.78,20011.41,10159.98,164781,26258,2004-09-08,2004-09-09,1
1538,"Severe Storm","Delaware","Pennsylvania",39.9167,-75.3991,0,0,0,565328,NA,2004-07-27,2004-08-25,29
1536,"Severe Storm","Logan","West Virginia",37.8315,-81.9353,6114.31,7120.31,5405.85,32593,19901,2004-07-22,2004-09-01,41
1527,"Severe Storm","Barry","Michigan",42.595,-85.309,0,0,0,61045,25059,2004-05-20,2004-06-08,19
1526,"Severe Storm","Chippewa","Wisconsin",45.0694,-91.2799,0,0,0,64175,24628,2004-05-07,2004-07-03,57
1524,"Severe Storm","Linn","Missouri",39.8702,-93.1072,0,0,0,12004,21015,2004-05-18,2004-05-31,13
1523,"Severe Storm","Caldwell","Kentucky",37.1453,-87.8679,43.2,0,0,12679,20327,2004-05-26,2004-06-18,23
1522,"Severe Storm","Cabell","West Virginia",38.4203,-82.2417,19943.22,25600,5859.52,93328,23647,2004-05-27,2004-06-28,32
1521,"Severe Storm","Livingston","Louisiana",30.4401,-90.7279,12385.25,13232.54,7745.18,140524,25076,2004-05-12,2004-05-19,7
1520,"Severe Storm","Gibson","Indiana",38.3119,-87.5846,3444.22,3046.92,2558.61,33711,24258,2004-05-25,2004-06-25,31
1525,"Severe Storm","Russell","Virginia",36.9339,-82.0954,4128.71,2553.36,2553.36,26937,19735,2004-05-24,2004-06-26,33
1530,"Severe Storm","Burlington","New Jersey",39.8777,-74.6681,74600.02,66468.46,55563.9,446301,36835,2004-07-12,2004-07-23,11
1518,"Severe Storm","Buena Vista","Iowa",42.7355,-95.1511,0,0,0,19950,22899,2004-05-19,2004-06-24,36
1517,"Severe Storm","Otoe","Nebraska",40.6485,-96.1348,1698.71,0,0,15965,25855,2004-05-20,2004-06-01,12
1519,"Severe Storm","Lorain","Ohio",41.2956,-82.151,114558.25,80792.23,65873.38,309134,26030,2004-05-18,2004-06-21,34
1507,"Severe Storm","Ross","Ohio",39.3376,-83.057,0,0,0,76816,21310,2004-01-03,2004-01-30,27
1500,"Severe Storm","Gilmer","West Virginia",38.9241,-80.8571,0,0,0,7970,17870,2003-11-11,2003-11-30,19
1499,"Severe Storm","Kitsap","Washington",47.613,-122.6716,2843.92,5930.03,5930.03,268945,31769,2003-10-15,2003-10-23,8
1502,"Severe Storm","Bland","Virginia",37.134,-81.1302,25281.72,10090.09,10090.09,6334,18501,2003-11-18,2003-11-19,1
1487,"Severe Storm","Hancock","Indiana",39.8236,-85.7732,1950.9,1950.9,1950.9,76614,28111,2003-08-26,2003-09-15,20
1497,"Severe Storm","Chester","Pennsylvania",39.9731,-75.7484,116336.21,51980.02,36060.83,521980,42210,2003-09-15,2003-09-23,8
1485,"Severe Storm","Warren","Pennsylvania",41.8145,-79.2741,813.43,813.43,813.43,39466,24179,2003-07-21,2003-09-12,53
1478,"Severe Storm","Mercer","Ohio",40.5399,-84.6294,3456.55,2256.55,2256.55,41034,24157,2003-07-04,2003-07-11,7
1476,"Severe Storm","Boone","Indiana",40.0508,-86.4687,12077.25,12745.69,10591.69,66875,37482,2003-07-04,2003-08-06,33
1482,"Severe Storm","Fayette","Tennessee",35.1971,-89.4144,270.11,270.11,270.11,40612,28201,2003-07-21,2003-07-22,1
1475,"Severe Storm","Leslie","Kentucky",37.0941,-83.3811,1856.18,1856.18,1856.18,10081,16424,2003-06-14,2003-06-27,13
1474,"Severe Storm","Logan","West Virginia",37.8315,-81.9353,5207.16,5207.16,4780.53,32593,19901,2003-06-11,2003-07-15,34
1472,"Severe Storm","Columbia","Arkansas",33.2143,-93.2273,78197.71,70179.51,43917.58,23620,19439,2003-05-02,2003-06-10,39
1471,"Severe Storm","Breckinridge","Kentucky",37.7732,-86.4293,308.6,308.6,308.6,20283,18101,2003-05-04,2003-05-27,23
1470,"Severe Storm","Calhoun","Mississippi",33.9365,-89.3365,1129,804.04,804.04,14417,17034,2003-05-05,2003-05-08,3
1459,"Severe Storm","Simpson","Mississippi",31.9132,-89.9195,6717.61,5078.98,3621.88,26818,18314,2003-04-06,2003-04-25,19
1466,"Severe Storm","Coosa","Alabama",32.9362,-86.2477,0,0,0,10696,18493,2003-05-05,2003-05-30,25
1465,"Severe Storm","Grady","Oklahoma",35.0169,-97.8841,1933.74,1933.74,1724.66,55315,23500,2003-05-08,2003-05-30,22
1469,"Severe Storm","Massac","Illinois",37.2189,-88.7076,28627.46,19257.03,14585.95,14041,22047,2003-05-06,2003-05-11,5
1464,"Severe Storm","Coffee","Tennessee",35.4906,-86.0748,2564.79,2564.79,2564.79,56024,20357,2003-05-04,2003-05-30,26
1463,"Severe Storm","Clinton","Missouri",39.6018,-94.4046,0,0,0,20503,25100,2003-05-04,2003-05-30,26
1462,"Severe Storm","Cherokee","Kansas",37.1693,-94.8463,91090.71,73444.75,27416.75,20017,19580,2003-05-04,2003-05-30,26
1461,"Severe Storm","Kenai Peninsula","Alaska",60.2654,-151.5652,16368.6,23537.94,14557.51,58809,31256,2003-03-06,2003-03-14,8
1460,"Severe Storm","Miami-Dade","Florida",25.6149,-80.5623,0,0,0,2705528,23174,2003-03-27,2003-03-27,0
1455,"Severe Storm","Greenbrier","West Virginia",37.947,-80.453,1146.87,1146.87,1146.87,34893,21720,2003-02-16,2003-03-28,40
1454,"Severe Storm","Lawrence","Kentucky",38.0679,-82.7348,4397.9,4397.9,4397.9,15604,17960,2003-02-15,2003-02-26,11
1453,"Severe Storm","Jackson","Ohio",39.0197,-82.6184,22072.93,17004.55,10469.58,32440,19405,2003-02-14,2003-03-18,32
1445,"Severe Storm","Kodiak Island","Alaska",57.6807,-153.7972,0,550,0,13383,28562,2002-10-23,2002-12-20,58
1444,"Severe Storm","Huron","Ohio",41.1463,-82.598,2747.8,0,0,58271,22257,2002-11-10,2002-11-10,0
1442,"Severe Storm","Barbour","Alabama",31.8696,-85.3932,205.59,205.59,205.59,25026,16829,2002-11-05,2002-11-12,7
1441,"Severe Storm","Bledsoe","Tennessee",35.5964,-85.2051,15121.28,13784.1,11775.91,14961,15747,2002-11-09,2002-11-12,3
1458,"Severe Storm","Russell","Virginia",36.9339,-82.0954,6195.81,6973.81,6195.81,26937,19735,2003-02-15,2003-02-28,13
1443,"Severe Storm","Clay","Mississippi",33.6557,-88.7816,4204.34,3015.1,1839.31,19515,18273,2002-11-10,2002-11-11,1
1439,"Severe Storm","Hidalgo","Texas",26.3967,-98.1811,867.27,867.27,867.27,861137,14222,2002-10-24,2002-11-15,22
