"Disaster#","Type","County","State","Latitude","Longitude","Damage","Approved","Repair","Population","IncomeCapita","DisasterBegin","DisasterEnd","Duration"
1512,"Flood","Norfolk","Massachusetts",42.1605,-71.2114,4869.1,3493.5,3265.5,703740,44692,2004-04-01,2004-04-30,29
1505,"Earthquake","San Luis Obispo","California",35.3871,-120.4044,4891434.56,3715494.66,3393723.84,282517,29954,2003-12-22,2004-02-06,46
1498,"Fire","Los Angeles","California",34.3209,-118.2247,0,0,0,10040682,27749,2003-10-21,2004-03-31,162
1494,"Hurricane","New Castle","Delaware",39.5768,-75.6527,4607.41,10137.98,0,558306,32406,2003-09-18,2003-09-29,11
1492,"Hurricane","Montgomery","Maryland",39.1363,-77.2042,49705.74,43866.78,21758.8,1047661,49038,2003-09-18,2003-09-29,11
1491,"Hurricane","Arlington","Virginia",38.8786,-77.1011,370.56,256.07,256.07,236434,62018,2003-09-18,2003-10-01,13
1490,"Hurricane","Camden","North Carolina",36.3877,-76.2064,60666.78,48856.11,24168.05,10654,25620,2003-09-18,2003-09-26,8
1493,"Hurricane","District of Columbia","District of Columbia",38.9047,-77.0163,55192.82,37099.98,29037.63,701974,NA,2003-09-18,2003-09-29,11
1495,"Hurricane","New Castle","Delaware",39.5768,-75.6527,0,1756.2,1756.2,558306,32406,2003-09-15,2003-09-15,0
1479,"Hurricane","Frio","Texas",28.8678,-99.1082,91896.71,85407.28,48520.9,20013,15863,2003-07-15,2003-07-28,13
1484,"Tornado","Portage","Ohio",41.1677,-81.1974,9900.92,7533.71,4947.33,162476,25332,2003-07-21,2003-08-25,35
1467,"Severe Ice Storm","Cayuga","New York",42.9175,-76.5545,2157.54,2399.58,1619.46,76958,24702,2003-04-03,2003-04-05,2
1440,"Earthquake","Fairbanks North Star","Alaska",64.8078,-146.5654,4201.92,4201.92,4201.92,98455,32143,2002-11-03,2002-11-10,7
4652,"Fire","Colfax","New Mexico",36.6061,-104.6468,0,0,0,12106,21387,2022-04-05,2022-07-23,109
4665,"Flood","St. Louis","Missouri",38.6407,-90.4434,0,0,0,996179,NA,2022-07-25,2022-07-28,3
4665,"Flood","St. Louis","Missouri",38.6359,-90.2451,0,0,0,304709,NA,2022-07-25,2022-07-28,3
4663,"Flood","Knott","Kentucky",37.354,-82.9541,551462.72,416598.88,339872.9,15041,18448,2022-07-26,2022-08-11,16
1974,"Severe Storm","Montgomery","Tennessee",36.4969,-87.3829,2489.4,1800.06,0,204992,22380,2011-04-25,2011-04-28,3
1942,"Severe Storm","Craven","North Carolina",35.1249,-77.0939,20756.69,21960.37,16827.58,102290,24260,2010-09-27,2010-10-01,4
1935,"Severe Storm","DuPage","Illinois",41.852,-88.0856,6395.82,6395.82,6395.82,926005,38570,2010-07-19,2010-08-07,19
4657,"Severe Storm","Muskogee","Oklahoma",35.6161,-95.3795,0,0,0,68451,19868,2022-05-02,2022-05-08,6
4609,"Flood","Dickson","Tennessee",36.149,-87.3567,0,0,0,53289,21547,2021-08-21,2021-08-21,0
1973,"Severe Storm","Lumpkin","Georgia",34.5722,-84.0027,57.3,57.3,57.3,33009,20908,2011-04-27,2011-04-28,1
1969,"Severe Storm","Bertie","North Carolina",36.0662,-76.9787,0,0,0,19081,17096,2011-04-16,2011-04-16,0
1933,"Severe Storm","Grant","Wisconsin",42.8675,-90.7062,32827.4,40719.23,37666.76,51570,21705,2010-07-20,2010-07-24,4
1930,"Severe Storm","Kossuth","Iowa",43.2041,-94.2067,0,0,0,14864,29127,2010-06-01,2010-08-31,91
1925,"Severe Storm","Carter","Kentucky",38.3182,-83.0495,8235.84,9419.72,8205.72,26976,19204,2010-07-17,2010-07-30,13
1917,"Severe Storm","Cleveland","Oklahoma",35.2031,-97.3265,0,0,0,282189,26920,2010-05-10,2010-05-13,3
4326,"Severe Storm","Bay","Michigan",43.7074,-83.9921,86223.2,76365.2,64861.74,103506,23799,2017-06-22,2017-06-27,5
1912,"Severe Storm","Adair","Kentucky",37.1041,-85.2807,5880.24,5880.24,5880.24,19366,17371,2010-05-01,2010-06-01,31
1909,"Severe Storm","Carroll","Tennessee",35.9732,-88.4502,5519.59,9785.74,2383.07,27841,18330,2010-04-30,2010-05-18,18
4676,"Flood","St. Clair","Illinois",38.4703,-89.9284,137998.54,132975.22,88370.12,261186,26234,2022-07-25,2022-07-28,3
1916,"Severe Storm","Alcorn","Mississippi",34.8808,-88.5803,7443.76,7789.24,6158.75,37058,19145,2010-05-01,2010-05-02,1
1908,"Severe Storm","DeKalb","Alabama",34.4598,-85.8041,90.44,0,0,71430,18149,2010-04-24,2010-04-25,1
1895,"Severe Storm","Worcester","Massachusetts",42.3514,-71.9077,11966.42,8927.27,8927.27,826655,31537,2010-03-12,2010-04-26,45
1894,"Severe Storm","Bristol","Rhode Island",41.7173,-71.284,0,0,0,48645,38893,2010-03-12,2010-04-12,31
1893,"Severe Storm","Raleigh","West Virginia",37.7714,-81.2487,4764.57,4764.57,4764.57,74452,21837,2010-03-12,2010-04-09,28
1904,"Severe Storm","Fairfield","Connecticut",41.2711,-73.3893,48574.34,21985.52,15883.54,944306,48721,2010-03-12,2010-05-17,66
4607,"Severe Storm","Washtenaw","Michigan",42.2532,-83.8388,24599.84,25726.57,10944.71,368385,33231,2021-06-25,2021-06-26,1
